matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,8os,352,0.0142,0.0067,0.0404,0.3370,0.8559,128,0.0068,0.0067,0.0067,0.0067,0.0169,128,0.0068,0.0001,0.0001,0.0001,0.8559,32,0.0266,0.0270,0.0270,0.0270,0.0270,32,0.0266,0.0005,0.0005,0.8357,0.8357,16,0.0481,0.0472,0.0674,0.0674,0.0674,16,0.0481,0.0011,0.4178,0.4178,0.4178
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,1os,614,0.0082,0.0068,0.0205,0.0752,0.8676,128,0.0069,0.0068,0.0068,0.0068,0.0169,128,0.0069,0.0001,0.0001,0.0001,0.8676,92,0.0094,0.0068,0.0137,0.0273,0.0273,91,0.0095,0.0001,0.0004,0.2664,0.2664,88,0.0089,0.0068,0.0205,0.0205,0.0205,87,0.0090,0.0001,0.0615,0.0820,0.0820
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,4os,502,0.0101,0.0069,0.0275,0.1924,0.8725,128,0.0070,0.0069,0.0069,0.0069,0.0171,128,0.0070,0.0001,0.0001,0.0001,0.8725,91,0.0095,0.0069,0.0137,0.0206,0.0206,91,0.0095,0.0001,0.0004,0.2405,0.2405,32,0.0245,0.0275,0.0412,0.0481,0.0481,32,0.0245,0.0005,0.1855,0.2267,0.2267
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,8os,352,0.0139,0.0066,0.0397,0.3311,0.8409,128,0.0067,0.0066,0.0066,0.0066,0.0166,128,0.0067,0.0001,0.0001,0.0001,0.8409,32,0.0262,0.0265,0.0265,0.0265,0.0265,32,0.0262,0.0005,0.0005,0.8210,0.8210,16,0.0473,0.0463,0.0662,0.0662,0.0662,16,0.0473,0.0010,0.4105,0.4105,0.4105
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,1os,614,0.0084,0.0070,0.0210,0.0768,0.8870,128,0.0071,0.0070,0.0070,0.0070,0.0172,128,0.0071,0.0001,0.0001,0.0001,0.8870,92,0.0096,0.0070,0.0140,0.0279,0.0279,91,0.0097,0.0001,0.0004,0.2724,0.2724,88,0.0091,0.0070,0.0210,0.0210,0.0210,87,0.0092,0.0001,0.0629,0.0838,0.0838
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,4os,502,0.0103,0.0070,0.0279,0.1952,0.8856,128,0.0071,0.0070,0.0070,0.0070,0.0174,128,0.0071,0.0001,0.0001,0.0001,0.8856,91,0.0097,0.0070,0.0139,0.0209,0.0209,91,0.0097,0.0001,0.0004,0.2441,0.2441,32,0.0249,0.0279,0.0418,0.0488,0.0488,32,0.0249,0.0005,0.1883,0.2301,0.2301
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,8os,352,0.0141,0.0067,0.0404,0.3364,0.8543,128,0.0068,0.0067,0.0067,0.0067,0.0169,128,0.0068,0.0001,0.0001,0.0001,0.8543,32,0.0266,0.0269,0.0269,0.0269,0.0269,32,0.0266,0.0005,0.0005,0.8342,0.8342,16,0.0480,0.0471,0.0673,0.0673,0.0673,16,0.0480,0.0011,0.4171,0.4171,0.4171
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,1os,2492,0.0024,0.0019,0.0058,0.0193,0.9874,513,0.0020,0.0019,0.0019,0.0019,0.0188,513,0.0020,0.0000,0.0000,0.0000,0.9874,349,0.0029,0.0019,0.0058,0.0077,0.0077,349,0.0029,0.0000,0.0001,0.1273,0.1485,383,0.0026,0.0019,0.0058,0.0077,0.0077,385,0.0026,0.0001,0.0174,0.0231,0.0309
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,4os,1571,0.0038,0.0019,0.0096,0.0559,0.9861,513,0.0020,0.0019,0.0019,0.0019,0.0191,513,0.0020,0.0000,0.0000,0.0000,0.9861,130,0.0077,0.0077,0.0116,0.0135,0.0135,129,0.0078,0.0001,0.0002,0.4796,0.5065,144,0.0070,0.0077,0.0135,0.0154,0.0193,142,0.0071,0.0002,0.0616,0.0751,0.0770
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,8os,1429,0.0042,0.0019,0.0115,0.0231,0.9852,513,0.0020,0.0019,0.0019,0.0019,0.0189,513,0.0020,0.0000,0.0000,0.0000,0.9852,130,0.0077,0.0077,0.0115,0.0135,0.0135,129,0.0078,0.0001,0.0002,0.4888,0.4964,72,0.0139,0.0154,0.0231,0.0327,0.0327,72,0.0139,0.0003,0.1308,0.1405,0.1405
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_16MB.cm,1os,2492,0.0024,0.0019,0.0058,0.0193,0.9871,513,0.0020,0.0019,0.0019,0.0019,0.0189,513,0.0020,0.0000,0.0000,0.0000,0.9871,349,0.0029,0.0019,0.0058,0.0077,0.0077,349,0.0029,0.0000,0.0001,0.1272,0.1485,383,0.0026,0.0019,0.0058,0.0077,0.0077,385,0.0026,0.0001,0.0174,0.0231,0.0308
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_16MB.cm,4os,1571,0.0038,0.0019,0.0097,0.0560,0.9887,513,0.0020,0.0019,0.0019,0.0019,0.0191,513,0.0020,0.0000,0.0000,0.0000,0.9887,130,0.0078,0.0077,0.0116,0.0135,0.0135,129,0.0078,0.0001,0.0002,0.4808,0.5078,144,0.0070,0.0077,0.0135,0.0154,0.0193,142,0.0071,0.0002,0.0618,0.0753,0.0772
