matrix,nodes,conns,fabric,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,pfc_pauses,pfc_pause_us,max_queue_bytes,slowdown_p50,slowdown_p99,slowdown_max,fairness_jain
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,1024,512,4os,ok,109,512,2110110.0,616614.0,1838700.0,2109060.0,2110110.0,51.200,0,0,0,0,0,0,0,0,0,2310507,1180980000.0,113792,459.7250,527.3375,527.5275,0.9118
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,1024,512,8os,ok,99,512,2112030.0,652367.0,1857410.0,2110880.0,2112030.0,51.200,0,0,0,0,0,0,0,0,0,2392705,1157470000.0,113792,464.6150,527.8625,528.0075,0.9299
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_16MB.cm,1024,512,1os,ok,16,512,337258.0,87330.3,280994.0,336638.0,337258.0,8.192,0,0,0,0,0,0,0,0,0,368320,286591000.0,113792,439.1109,526.4672,526.9656,0.9051
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_16MB.cm,1024,512,4os,ok,16,512,336741.0,96000.3,292469.0,336310.0,336741.0,8.192,0,0,0,0,0,0,0,0,0,373686,191476000.0,113792,457.0578,525.5781,526.1578,0.9161
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_16MB.cm,1024,512,8os,ok,15,512,337057.0,100134.0,295150.0,336632.0,337057.0,8.192,0,0,0,0,0,0,0,0,0,387312,185959000.0,113792,461.9219,526.1109,526.6516,0.9327
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_64MB.cm,1024,512,1os,ok,76,512,1349300.0,346847.0,1132550.0,1348700.0,1349300.0,32.768,0,0,0,0,0,0,0,0,0,1467296,1141530000.0,113792,442.4336,526.8750,527.0703,0.9033
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_64MB.cm,1024,512,4os,ok,67,512,1350090.0,391021.0,1173120.0,1349620.0,1350090.0,32.768,0,0,0,0,0,0,0,0,0,1480099,756721000.0,113792,458.6055,527.2656,527.3789,0.9121
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_64MB.cm,1024,512,8os,ok,62,512,1351270.0,420220.0,1191650.0,1350550.0,1351270.0,32.768,0,0,0,0,0,0,0,0,0,1525024,740321000.0,113792,465.5312,527.6172,527.8398,0.9312
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_100MB.cm,128,64,1os,ok,397,64,390726.0,367041.0,383211.0,390629.0,390726.0,6.400,0,0,0,0,0,0,0,0,0,81130,1770080.0,113792,95.8107,97.6815,97.6815,0.9997
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_100MB.cm,128,64,4os,ok,238,64,396402.0,364065.0,388003.0,396289.0,396402.0,6.400,0,0,0,0,0,0,0,0,0,114938,2117530.0,113792,97.1880,99.1005,99.1005,0.9996
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_100MB.cm,128,64,8os,ok,93,64,390663.0,375798.0,387979.0,390651.0,390663.0,6.400,0,0,0,0,0,0,0,0,0,93822,1438210.0,113792,97.0203,97.6658,97.6658,0.9999
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_16MB.cm,128,64,1os,ok,14,64,63332.0,56285.9,61831.3,63310.9,63332.0,1.024,0,0,0,0,0,0,0,0,0,12830,339951.0,113792,96.6538,98.9562,98.9562,0.9991
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_16MB.cm,128,64,4os,ok,13,64,65100.1,59418.5,63469.2,65028.9,65100.1,1.024,0,0,0,0,0,0,0,0,0,16090,300514.0,113792,99.3430,101.7189,101.7189,0.9995
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_16MB.cm,128,64,8os,ok,9,64,64581.6,57058.9,63267.3,64536.9,64581.6,1.024,0,0,0,0,0,0,0,0,0,14129,227726.0,113792,98.9073,100.9087,100.9087,0.9993
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_64MB.cm,128,64,1os,ok,172,64,250168.0,230308.0,245218.0,250114.0,250168.0,4.096,0,0,0,0,0,0,0,0,0,52680,1197250.0,113792,95.8328,97.7219,97.7219,0.9996
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_64MB.cm,128,64,4os,ok,111,64,254309.0,236330.0,248930.0,254242.0,254309.0,4.096,0,0,0,0,0,0,0,0,0,71741,1308100.0,113792,97.2547,99.3395,99.3395,0.9996
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_64MB.cm,128,64,8os,ok,52,64,251059.0,240767.0,248897.0,250964.0,251059.0,4.096,0,0,0,0,0,0,0,0,0,60061,931465.0,113792,97.2539,98.0699,98.0699,0.9999
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_100MB.cm,1024,509,1os,ok,224,509,598319.0,9605.1,34950.6,597376.0,598319.0,50.900,0,0,0,0,0,0,0,0,0,347871,28351400.0,117504,8.7435,149.4180,149.5797,0.6196
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_100MB.cm,1024,509,4os,ok,242,509,623470.0,13061.9,155695.0,622956.0,623470.0,50.900,0,0,0,0,0,0,0,0,0,391795,13763800.0,117248,38.9355,155.7640,155.8675,0.5119
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_100MB.cm,1024,509,8os,ok,220,509,627471.0,13177.9,261694.0,626704.0,627471.0,50.900,0,0,0,0,0,0,0,0,0,517100,15869900.0,116608,65.7635,156.7022,156.8678,0.3775
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_16MB.cm,1024,509,1os,ok,30,509,96591.1,1972.2,7870.3,96389.8,96591.1,8.144,0,0,0,0,0,0,0,0,0,56667,4422650.0,117504,12.3074,150.6484,150.9236,0.6563
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_16MB.cm,1024,509,4os,ok,27,509,102627.0,2662.7,30626.9,102349.0,102627.0,8.144,0,0,0,0,0,0,0,0,0,59876,1977140.0,116864,47.9161,159.9734,160.3547,0.5593
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_16MB.cm,1024,509,8os,ok,23,509,102733.0,2790.5,45124.2,102548.0,102733.0,8.144,0,0,0,0,0,0,0,0,0,82172,2539280.0,115712,70.5662,160.2406,160.5203,0.4643
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_64MB.cm,1024,509,1os,ok,126,509,383260.0,6695.0,24418.9,382631.0,383260.0,32.576,0,0,0,0,0,0,0,0,0,227970,19146000.0,117504,9.5612,149.4727,149.7109,0.6205
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_64MB.cm,1024,509,4os,ok,130,509,399400.0,8634.4,94019.9,399193.0,399400.0,32.576,0,0,0,0,0,0,0,0,0,245026,8749020.0,116736,36.7955,155.9504,156.0156,0.5308
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_1024n_64MB.cm,1024,509,8os,ok,121,509,403284.0,8736.2,157467.0,402624.0,403284.0,32.576,0,0,0,0,0,0,0,0,0,326071,9990830.0,117248,61.6211,157.2914,157.5328,0.3937
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/outcast_incast_128n_100MB.cm,128,61,1os,ok,48,61,79970.8,9541.1,24296.7,79886.1,79970.8,6.100,0,0,0,0,0,0,0,0,0,1765,11770.8,113792,6.4411,19.9927,19.9927,0.7117
