matrix,workload,size_MB,nodes,conns,stack,topology,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,pfc_pauses,pfc_pause_us,max_queue_bytes,slowdown_p50,slowdown_p99,slowdown_max,fairness_jain,overflow
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_16MB.cm,allreduce_rail_aware,16,1024,28672,uet,flat,ok,38,28672,355.7,4.9,178.7,353.0,355.7,32.736,8026112,0,0,0,2066799,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_16MB.cm,allreduce_rail_aware,16,1024,28672,uet,rail,ok,38,28672,357.2,4.9,163.6,322.4,357.2,32.736,8026112,28,0,0,2066321,28,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_64MB.cm,allreduce_rail_aware,64,1024,28672,uet,flat,ok,164,28672,1232.4,18.5,533.8,1060.7,1232.4,130.944,32055296,9450,0,0,8427097,9450,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_64MB.cm,allreduce_rail_aware,64,1024,28672,uet,rail,ok,201,28672,1174.2,18.5,513.5,1020.4,1174.2,130.944,32055296,10744,0,0,8419109,10744,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_100MB.cm,allreduce_rail_aware,100,2048,61440,uet,flat,ok,644,61440,1739.2,28.7,809.6,1614.6,1739.2,409.400,100229120,56236,0,0,26741344,56236,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_100MB.cm,allreduce_rail_aware,100,2048,61440,uet,rail,ok,618,61440,1865.0,28.7,790.8,1610.4,1865.0,409.400,100229120,44253,0,0,26454674,44253,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_16MB.cm,allreduce_rail_aware,16,2048,61440,uet,flat,ok,88,61440,374.4,4.9,187.4,370.3,374.4,65.504,16060416,12,0,0,4144065,12,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_16MB.cm,allreduce_rail_aware,16,2048,61440,uet,rail,ok,91,61440,374.8,4.9,173.6,342.6,374.8,65.504,16060416,23,0,0,4138110,23,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_64MB.cm,allreduce_rail_aware,64,2048,61440,uet,flat,ok,361,61440,1178.4,18.5,543.2,1081.3,1178.4,262.016,64143360,19483,0,0,16872810,19483,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_64MB.cm,allreduce_rail_aware,64,2048,61440,uet,rail,ok,353,61440,1204.9,18.5,525.7,1046.3,1204.9,262.016,64143360,18926,0,0,16848683,18926,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
