matrix,stack,topology,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max
rail_allreduce_2048gpu_64MB,ib,flat,12288,0.0880,0.1068,0.1606,0.2070,0.2788,4096,0.0762,0.1128,0.1128,0.1129,0.1129,4096,0.0762,0.1128,0.1128,0.1128,0.1129,2048,0.1115,0.1073,0.1927,0.2297,0.2788,2048,0.1115,0.1062,0.1944,0.2260,0.2620,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_64MB,ib,rail,12288,0.0982,0.1150,0.1656,0.2213,0.3274,4096,0.0893,0.1322,0.1322,0.1322,0.1322,4096,0.0893,0.1322,0.1322,0.1322,0.1322,2048,0.1160,0.1151,0.2055,0.2456,0.3274,2048,0.1160,0.1149,0.2055,0.2545,0.2883,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_1024gpu_100MB,ib,flat,6144,0.0873,0.1263,0.1385,0.1477,0.1636,2048,0.0677,0.1296,0.1296,0.1297,0.1301,2048,0.0677,0.1296,0.1296,0.1296,0.1296,1024,0.1265,0.1264,0.1444,0.1515,0.1636,1024,0.1265,0.1259,0.1457,0.1527,0.1617,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_1024gpu_100MB,ib,rail,6144,0.0833,0.1049,0.1389,0.1389,0.1395,2048,0.0725,0.1389,0.1389,0.1390,0.1394,2048,0.0725,0.1388,0.1389,0.1389,0.1389,1024,0.1050,0.1049,0.1229,0.1289,0.1395,1024,0.1050,0.1049,0.1233,0.1310,0.1363,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_1024gpu_16MB,ib,flat,6144,0.0607,0.0879,0.0962,0.1027,0.1145,2048,0.0470,0.0902,0.0902,0.0902,0.0906,2048,0.0470,0.0901,0.0902,0.0902,0.0902,1024,0.0880,0.0879,0.1005,0.1054,0.1138,1024,0.0880,0.0880,0.1018,0.1053,0.1145,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_1024gpu_16MB,ib,rail,6144,0.0811,0.1019,0.1352,0.1352,0.1358,2048,0.0705,0.1352,0.1352,0.1352,0.1357,2048,0.0705,0.1351,0.1352,0.1352,0.1352,1024,0.1022,0.1021,0.1197,0.1254,0.1358,1024,0.1022,0.1014,0.1190,0.1272,0.1325,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_1024gpu_64MB,ib,flat,6144,0.0745,0.1079,0.1181,0.1260,0.1412,2048,0.0577,0.1106,0.1106,0.1107,0.1110,2048,0.0577,0.1106,0.1106,0.1106,0.1106,1024,0.1080,0.1078,0.1233,0.1293,0.1397,1024,0.1080,0.1081,0.1234,0.1304,0.1412,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_1024gpu_64MB,ib,rail,6144,0.0792,0.0997,0.1320,0.1320,0.1326,2048,0.0689,0.1320,0.1320,0.1321,0.1325,2048,0.0689,0.1320,0.1320,0.1320,0.1320,1024,0.0998,0.0997,0.1169,0.1225,0.1326,1024,0.0998,0.0997,0.1165,0.1231,0.1275,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_2048gpu_100MB,ib,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rail_alltoall_moe_2048gpu_100MB,ib,rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
